LS,TO,VBN,'',WP,UH,VBG,JJ,VBZ,--,VBP,NN,DT,PRP,:,WP$,NNPS,PRP$,WDT,(,),.,",",``,$,RB,RBR,RBS,VBD,IN,FW,RP,JJR,JJS,PDT,MD,VB,WRB,NNP,EX,NNS,SYM,CC,CD,POS,class
0,2,2,0,0,0,1,16,2,0,0,12,9,5,3,0,0,2,0,0,0,8,2,2,0,15,1,0,11,9,0,2,5,0,0,2,3,1,14,0,1,0,9,3,0,0
0,1,1,1,1,0,1,8,1,0,1,5,3,3,0,0,0,0,1,0,0,4,1,1,0,3,0,0,2,4,0,0,0,0,0,0,1,0,0,1,3,0,1,1,0,0
0,0,1,0,0,0,1,10,6,0,1,7,9,1,0,0,0,0,0,0,0,8,2,2,0,8,0,0,0,8,0,0,1,0,0,0,0,0,0,1,4,0,1,1,0,0
0,12,14,2,6,0,3,41,34,0,4,93,53,15,5,1,0,19,2,0,0,14,26,2,0,19,0,0,1,66,2,1,0,0,0,2,13,1,34,0,17,0,22,5,0,0
0,7,10,0,4,0,4,27,18,0,15,77,65,12,11,0,0,1,2,0,0,20,28,2,0,23,1,0,2,61,0,0,21,3,2,3,9,1,25,4,33,0,11,8,0,0
0,3,0,2,0,0,0,9,0,0,1,14,13,1,1,0,0,0,2,0,0,5,3,4,0,2,0,0,6,5,0,0,0,0,0,0,1,0,9,0,3,0,0,1,0,0
0,5,2,1,0,0,3,12,6,0,5,25,19,14,4,0,0,1,1,0,0,8,16,3,0,20,1,0,8,19,2,1,9,0,1,2,8,1,5,0,12,0,9,3,0,0
0,2,2,0,1,0,0,20,12,0,4,27,15,7,11,0,0,2,0,0,0,10,13,2,0,10,0,0,0,8,2,0,12,0,0,2,5,0,11,1,2,0,11,1,0,0
0,2,0,0,0,1,1,12,3,0,3,13,5,5,3,0,0,1,0,0,0,10,10,2,0,7,0,0,2,8,0,0,0,0,0,1,4,0,0,0,4,1,2,2,0,0
1,3,5,0,0,0,5,16,2,0,4,25,16,13,0,0,0,3,0,0,0,13,4,2,0,11,0,0,11,16,1,0,0,1,0,2,7,1,0,0,3,0,5,1,0,0
0,0,2,1,0,0,0,9,3,0,3,20,11,1,2,0,0,0,0,0,0,5,3,2,0,7,0,0,0,8,0,1,0,0,0,1,1,0,0,1,6,0,5,4,2,0
2,5,4,2,0,1,3,18,5,0,4,48,24,14,11,0,0,5,0,0,0,20,9,2,0,20,0,0,11,26,5,3,20,0,0,4,10,7,9,1,9,0,10,4,0,0
0,5,7,0,6,0,7,41,22,0,8,81,57,20,14,0,1,5,0,0,0,26,19,2,0,31,1,0,19,56,0,0,31,1,1,5,13,4,54,1,21,0,18,4,0,0
0,2,4,1,0,0,5,14,4,0,10,36,28,8,0,0,0,1,0,0,0,16,6,3,0,5,1,0,7,18,1,3,1,2,0,2,11,7,7,1,11,0,3,4,0,0
0,0,0,1,0,1,1,15,1,0,1,10,3,2,0,0,0,0,0,0,0,13,14,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
0,4,4,0,2,0,4,8,12,0,14,58,30,22,7,0,0,3,0,0,0,33,12,2,0,15,0,0,4,33,0,2,12,1,0,8,16,2,2,1,12,0,8,6,0,0
0,1,3,0,0,0,0,7,3,0,4,8,11,8,0,0,0,0,0,0,0,8,1,2,0,4,1,0,3,5,0,0,0,0,0,3,5,2,0,0,4,0,2,3,0,0
0,1,1,0,0,0,1,11,3,0,6,18,16,3,6,0,0,0,0,0,0,8,7,2,0,2,0,0,1,15,2,0,13,0,0,0,0,0,6,0,9,0,7,5,0,0
0,12,2,5,0,0,5,24,9,0,3,55,33,16,15,0,0,4,3,0,0,27,17,7,0,8,0,1,21,35,6,2,16,0,1,1,15,3,22,2,15,0,13,9,0,0
0,3,0,0,1,0,2,6,2,0,4,19,11,7,0,0,0,3,0,0,0,6,4,2,0,4,0,0,4,8,0,0,0,0,0,1,4,1,3,0,4,0,5,2,0,0
0,7,1,0,0,0,5,15,9,0,11,22,12,15,0,0,0,2,0,0,0,11,6,2,0,14,0,0,1,16,2,0,0,2,0,1,7,2,7,0,8,0,6,4,0,0
0,9,12,3,2,0,7,30,20,0,21,57,42,41,8,0,0,5,2,0,0,17,23,5,0,34,1,1,5,52,2,2,18,1,1,10,21,3,18,0,30,1,24,7,0,0
0,1,0,0,0,0,3,9,6,0,1,16,15,1,1,0,0,1,0,0,0,6,3,2,0,8,0,0,1,14,2,0,0,2,0,0,1,0,17,0,6,0,4,5,0,0
0,1,1,0,2,0,0,7,5,0,5,13,8,8,0,0,0,0,0,0,0,5,3,2,0,10,0,0,2,7,0,0,0,0,0,2,3,1,4,0,1,0,4,1,0,0
0,16,13,3,11,1,23,67,49,0,19,181,103,44,25,2,1,18,10,0,0,36,19,7,0,47,2,1,21,122,0,4,23,4,1,5,27,6,55,3,44,5,38,8,0,0
0,10,13,1,1,0,8,18,17,0,6,71,42,12,19,1,0,4,3,0,0,11,16,5,0,9,0,0,4,50,0,4,22,0,0,6,12,5,22,2,13,3,6,3,0,0
0,1,3,3,1,0,2,4,0,0,3,23,14,2,0,0,0,0,0,0,0,4,3,5,0,4,0,0,5,13,2,1,0,0,0,0,2,0,10,0,3,1,5,3,0,0
0,8,11,2,2,0,11,25,6,0,11,58,41,30,12,0,0,3,1,0,0,20,18,4,0,24,1,0,21,42,2,3,24,3,2,3,13,3,10,2,17,1,15,6,0,0
0,5,1,1,1,1,2,14,6,0,5,24,19,6,4,0,0,0,1,0,0,15,7,3,0,14,1,0,1,14,0,1,4,2,0,0,3,1,3,0,3,2,5,5,0,0
0,4,9,6,5,0,4,26,17,0,8,39,33,15,2,0,0,1,1,0,0,18,15,8,0,21,0,0,1,34,1,2,3,1,0,2,11,1,27,0,7,3,5,7,0,0
0,16,8,2,0,0,14,35,11,0,9,75,43,29,10,0,0,12,1,0,0,15,14,4,0,25,1,0,10,57,0,1,17,0,0,3,14,2,10,2,18,0,7,3,0,0
0,2,4,2,1,0,0,12,4,0,3,25,14,10,6,0,0,2,1,0,0,6,4,2,0,5,0,0,5,12,1,0,12,0,0,0,6,1,18,0,3,0,3,1,0,0
0,0,1,1,0,0,0,3,5,0,0,13,11,1,0,0,0,1,1,0,0,3,1,1,0,5,0,0,0,10,0,0,0,1,0,1,1,0,2,0,2,0,1,3,0,0
0,6,3,1,1,0,2,9,3,0,6,27,19,7,4,0,0,3,1,0,0,11,10,5,0,11,0,0,1,12,0,0,8,0,0,5,12,2,6,1,8,2,10,2,0,0
0,2,1,1,0,0,0,6,2,0,3,27,26,0,2,0,0,0,2,0,0,11,1,3,0,7,0,0,0,15,0,0,0,0,0,9,8,8,0,1,8,0,1,2,0,0
2,2,4,8,1,1,1,34,10,0,4,52,35,12,20,0,0,1,0,0,0,12,18,2,0,17,0,0,5,25,2,0,26,2,2,3,11,1,16,1,13,0,13,5,2,0
0,7,6,0,1,0,4,34,13,0,10,51,25,12,11,0,0,6,4,0,0,12,14,2,0,20,1,1,3,32,0,1,21,1,1,2,6,2,23,2,11,0,9,4,0,0
7,2,7,0,4,0,3,10,4,0,0,28,21,6,4,0,0,1,1,0,0,9,9,2,0,12,0,0,15,18,5,0,8,0,0,0,5,1,0,0,10,0,7,5,0,0
0,3,11,0,4,0,10,32,15,0,7,67,49,12,8,0,0,1,2,0,0,13,12,2,0,24,1,1,6,45,2,1,16,0,0,5,8,2,34,1,13,0,15,2,1,0
0,4,4,1,1,0,1,14,16,0,7,29,32,16,0,0,0,2,1,0,0,13,3,1,0,23,1,0,3,20,0,1,0,2,0,6,10,2,2,0,4,0,8,6,1,0
0,11,16,0,3,0,7,43,17,0,6,94,67,11,23,0,5,6,2,0,0,17,22,2,0,38,1,0,15,80,2,1,40,2,0,1,9,2,40,1,18,0,21,8,0,0
0,0,0,1,0,0,0,3,0,0,1,5,5,1,1,0,0,0,1,0,0,3,1,3,0,3,0,0,1,5,6,0,1,1,0,0,0,0,3,0,2,0,0,1,0,0
0,3,4,2,0,0,5,11,8,0,1,23,18,5,8,0,0,1,1,0,0,7,5,2,0,9,0,0,1,14,0,0,5,3,0,0,2,0,3,0,6,0,4,6,0,0
0,5,1,5,0,0,2,17,0,0,0,18,8,4,9,0,0,3,0,0,0,9,11,7,0,11,0,0,9,19,0,0,1,0,0,0,5,0,19,1,5,1,3,7,0,0
0,4,1,3,1,0,3,27,4,0,7,23,20,2,3,0,1,3,2,0,0,6,17,5,0,5,1,0,1,17,0,0,0,0,0,1,5,1,23,0,13,5,12,6,1,0
0,3,0,0,1,0,2,16,8,0,5,37,24,8,4,0,0,4,1,0,0,28,7,2,0,10,0,0,3,20,0,2,8,0,1,0,3,0,7,0,5,0,6,5,0,0
0,2,1,0,0,0,2,18,7,0,8,34,21,15,6,0,0,1,0,0,0,18,1,2,0,9,0,0,5,23,0,0,13,1,0,1,5,3,17,0,4,0,4,5,0,0
0,5,6,1,0,1,2,27,9,0,7,28,18,8,8,0,1,3,2,0,0,15,13,1,0,24,0,0,3,18,0,1,9,0,1,1,5,2,17,0,13,0,9,2,0,0
0,4,3,3,1,0,2,17,10,0,4,54,29,13,10,0,0,2,2,0,0,20,5,3,0,13,0,0,7,30,1,1,25,0,1,1,5,0,28,0,11,1,11,1,0,0
0,9,6,0,0,1,4,29,13,0,4,54,29,10,7,0,0,4,2,0,0,12,18,2,0,21,1,0,7,33,3,1,9,0,0,2,8,0,22,0,8,0,11,7,0,0
0,0,8,3,0,0,4,15,3,0,2,25,14,5,2,0,0,0,2,0,0,10,7,5,0,4,0,1,8,19,2,0,5,1,1,3,3,0,5,1,7,0,5,3,0,0
